ID,FPS,LOOPTYPE,,
Book,13,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/EquipmentBook.png,48,65,378,270
graphics/EquipmentBook.png,466,69,309,270
graphics/EquipmentBook.png,893,65,271,270
graphics/EquipmentBook.png,1254,74,255,269
graphics/EquipmentBook.png,1612,81,271,270
graphics/EquipmentBook.png,113,453,284,270
graphics/EquipmentBook.png,525,465,288,264
graphics/EquipmentBook.png,940,437,288,261
graphics/EquipmentBook.png,1374,436,188,250
graphics/EquipmentBook.png,154,856,188,250
graphics/EquipmentBook.png,594,856,188,250
graphics/EquipmentBook.png,998,864,188,250
graphics/EquipmentBook.png,1382,844,188,250
graphics/EquipmentBook.png,158,1248,188,250
graphics/EquipmentBook.png,518,1224,188,250
graphics/EquipmentBook.png,866,1244,188,250
graphics/EquipmentBook.png,1209,1275,188,250
graphics/EquipmentBook.png,1512,1275,188,250
graphics/EquipmentBook.png,199,1578,188,250
graphics/EquipmentBook.png,603,1578,188,250
graphics/EquipmentBook.png,906,1578,188,250
graphics/EquipmentBook.png,1209,1578,188,250
graphics/EquipmentBook.png,1512,1578,188,250
graphics/EquipmentBook.png,199,1982,201,259
graphics/EquipmentBook.png,605,1980,239,261
graphics/EquipmentBook.png,912,1971,194,270
graphics/EquipmentBook.png,1229,1971,192,264
graphics/EquipmentBook.png,1475,1971,262,263
graphics/EquipmentBook.png,91,2375,387,262
graphics/EquipmentBook.png,596,2375,387,262
graphics/EquipmentBook.png,1308,2378,397,266
graphics/EquipmentBook.png,109,2686,368,252
