WallSizeWidth,WallSizeHeight,SortLayer,,,,,,,,,,,,
15,12,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,16","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,17","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"1,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","6,-1","2,-1"
"3,-1","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","-1,5","4,-1"
