WallSizeWidth,WallSizeHeight,SortLayer,,
5,20,-1,,
,,,,
,,,,
"6,-1","6,-1","6,-1","6,-1","6,-1"
"6,-1","6,-1","6,-1","6,-1","6,-1"
"6,-1","6,-1","6,-1","6,-1","6,-1"
"6,-1","6,-1","6,-1","6,-1","6,-1"
"6,-1","6,-1","6,-1","6,-1","6,-1"
"6,-1","-1,-1","-1,-1","-1,-1","-1,-1"
"6,-1","6,-1","6,-1","6,-1","6,-1"
"6,-1","6,-1","6,-1","6,-1","-1,-1"
"6,-1","-1,-1","-1,-1","-1,-1","-1,-1"
"-1,-1","-1,-1","-1,-1","-1,-1","-1,-1"
"-1,-1","-1,-1","-1,-1","-1,-1","-1,-1"
"-1,-1","-1,-1","-1,-1","-1,-1","-1,-1"
"-1,-1","-1,-1","-1,-1","-1,-1","-1,-1"
"6,-1","6,-1","6,-1","-1,-1","-1,-1"
"6,-1","-1,-1","6,-1","6,-1","6,-1"
"6,-1","6,-1","6,-1","-1,-1","6,-1"
"6,-1","-1,-1","6,-1","6,-1","6,-1"
"6,-1","-1,-1","6,-1","6,-1","6,-1"
"6,-1","6,-1","6,-1","6,-1","-1,-1"
"6,-1","6,-1","6,-1","6,-1","-1,-1"
,,,,
ShapeSize,0,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y
