WallSizeWidth,WallSizeHeight,SortLayer,,,,
7,7,-1,,,,
,,,,,,
,,,,,,
"45,18,-1","45,17,-1","45,17,-1","45,17,48","45,17,-1","45,17,-1","45,19,-1"
"45,18,-1","8,-1,-1","9,-1,-1","45,-1,-1","36,-1,-1","37,-1,-1","45,19,-1"
"45,18,-1","11,-1,-1","10,-1,-1","45,-1,-1","40,-1,-1","38,-1,-1","45,19,-1"
"45,18,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,19,-1"
"45,18,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,19,-1"
"45,18,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,-1,-1","45,19,-1"
"45,18,-1","45,17,-1","45,17,-1","45,17,-1","45,17,-1","45,17,-1","45,19,-1"
,,,,,,
ShapeSize,0,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,
