WallSizeWidth,WallSizeHeight,SortLayer,,,,
7,7,-1,,,,
,,,,,,
,,,,,,
"0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1"
"0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1"
"-1,-1","-1,-1","-1,-1","-1,-1","-1,-1","-1,-1","-1,-1"
"0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1"
"0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1"
"0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1"
"0,-1","0,-1","0,-1","0,-1","0,-1","0,-1","0,-1"
,,,,,,
ShapeSize,0,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,
