WallSizeWidth,WallSizeHeight,SortLayer,,,,
7,7,-1,,,,
,,,,,,
,,,,,,
"16,14,-1","16,12,50","16,12,-1","16,12,-1","16,12,-1","16,12,50","16,13,-1"
"16,14,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,13,-1"
"16,14,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,13,-1"
"16,14,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,13,-1"
"16,14,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,13,-1"
"16,14,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,-1,-1","16,13,-1"
"16,14,-1","16,15,-1","16,15,-1","16,15,-1","16,15,-1","16,15,-1","16,13,-1"
,,,,,,
ShapeSize,0,,,,,
WallType,WallPosition.x,WallPosition.y,WallSize.x,WallSize.y,,
